claim_id,project_id,claim_ko,evidence_level,implementation_status,verification_source,last_verified_at,allowed_use,limits
CLM-AI-001,WORK-AI-01,"정형데이터 기반 LLM 챗봇 PoC에서 FastAPI 기반 Text2SQL/NL2SQL API와 모델 교체형 호출 구조, SQL 검증 및 실행, 결과 기록 흐름을 구현했다.",E3,tested-component,"private Git metadata, code, benchmark results",2026-08-01,"resume;interview;ai-analysis","PoC와 benchmark 범위. 프로덕션 운영 및 모델 연구로 표현하지 않음"
CLM-AI-002,WORK-AI-01,"13개 현업 질문과 4개 로컬 모델의 52회 비교, 29개 질문 validation set을 이용해 SQL 실행과 실패 유형을 반복 검증했다.",E3,tested-component,"private benchmark artifacts and work evidence",2026-08-01,"resume;interview;ai-analysis","실행률을 정답 정확도로 바꾸지 않음. 모든 후보 모델을 실서비스 운영했다고 표현하지 않음"
CLM-AI-003,WORK-AI-02,"Agentic AI 분석 Runtime에서 작업별 격리 workspace와 artifact, manifest, provenance 저장 및 추적 구조와 관련 테스트를 구현했다.",E3,tested-component,"authenticated private Git commits and tests",2026-08-01,"resume;interview;ai-analysis","전체 플랫폼 단독 구현, 실제 모델 전체 연동 완료, 대규모 운영으로 표현하지 않음"
CLM-AI-005,WORK-AI-04,"FastAPI와 Docker Compose를 이용해 vLLM 기반 다중 모델 호출을 중계하는 LLM gateway pilot stack과 실행 및 배포 절차를 구현했다.",E2,implemented,"authenticated private Git code and documents",2026-08-01,"resume;interview;ai-analysis","테스트와 운영 결과가 없어 프로덕션 플랫폼, 고가용성 또는 운영 검증 완료로 표현하지 않음"
CLM-AI-004,WORK-AI-03,"LLM 기반 장애 진단, 분석 지원, RAG 확장 방향과 사람 검토가 포함된 업무 workflow를 설계하고 문서화했다.",E2,designed,"local private Git author metadata and documents; default-ref reachability unconfirmed",2026-08-01,"resume;interview;ai-analysis","구현 완료가 아니라 설계 및 로드맵 경험으로만 사용. 인증 계정 LLM 303건 집계에는 포함하지 않음"
CLM-PLATFORM-001,WORK-PLATFORM-01,"Java와 Python 기반 데이터 서비스의 웹, API, DB 연계, 운영 개선 작업을 여러 회사 저장소에서 지속 수행했다.",E2,implemented,"private authored commit metadata and work evidence",2026-08-01,"resume;interview;ai-analysis","프로젝트별 세부 역할과 운영 성과는 지원 전에 원본과 다시 대조"
CLM-DATA-001,WORK-DATA-01,"Java/JSP/MyBatis 기반 운영 데이터 화면과 DB 연계, Python 분석 배치와 결과 재적재 및 ModelOps 관련 기능을 개선했다.",E2,implemented,"authenticated private Git code and work evidence",2026-08-01,"resume;interview;ai-analysis","자동 테스트나 성능 향상 수치를 만들지 않으며 프로젝트별 본인 범위를 다시 대조"
CLM-DATA-002,WORK-DATA-02,"읽기 전용 데이터 분석 pipeline, CLI와 SQL runner, 재현 manifest와 HTML 보고서 생성 흐름 및 관련 테스트를 구현했다.",E3,tested-component,"authenticated private Git code, test artifacts and internal validation records",2026-08-01,"resume;interview;ai-analysis","테스트 파일과 내부 검증 기록은 있으나 이 공개 점검에서 독립 재실행 또는 CI 성공은 확인하지 않음"
CLM-EDU-001,WORK-EDU-01,"데이터 플랫폼의 인증, 분석 화면과 필터 기능을 개선하고 제한형 배포, 검증, health와 rollback 자동화 기반을 구현했다.",E2,implemented,"authenticated private Git code and documents",2026-08-01,"resume;interview;ai-analysis","전체 플랫폼 단독 구현 또는 자동화 운영 성과로 확대하지 않음"
CLM-INTEGRATION-001,WORK-INTEGRATION-01,"문서 파싱 보완, dry-run, DB 확인과 CSV export를 포함한 데이터 연계 도구를 구현했다.",E2,implemented,"authenticated private Git code and documents",2026-08-01,"resume;interview;ai-analysis","전체 운영 pipeline 완료나 처리 성능 수치로 확대하지 않음"
CLM-OPS-001,WORK-OPS-01,"Linux 원격 개발환경, 배포 자동화, Git 운영 규칙과 실행 가이드를 코드와 문서 형태로 정리했다.",E2,implemented,"private authored commit metadata and documents",2026-08-01,"resume;interview;ai-analysis","조직 전체 표준 수립 또는 운영 책임자로 확대하지 않음"
